time,open,high,low,close,volume,ticker
2024-02-26,1212.93,1225.21,1210.52,1224.17,889748773,VNINDEX
2024-02-27,1228.93,1237.6,1226.49,1237.46,986854411,VNINDEX
2024-02-28,1241.77,1254.55,1236.32,1254.55,970755990,VNINDEX
2024-02-29,1259.59,1264.39,1247.7,1252.73,1091193600,VNINDEX
2024-03-01,1256.72,1258.76,1247.87,1258.28,961928011,VNINDEX
2024-03-04,1264.07,1268.25,1256.54,1261.41,1183086384,VNINDEX
2024-03-05,1262.89,1269.98,1257.81,1269.98,1011196107,VNINDEX
2024-03-06,1269.8,1277.51,1256.3,1262.73,1062933517,VNINDEX
2024-03-07,1263.23,1269.88,1260.24,1268.46,1017267325,VNINDEX
2024-03-08,1272.62,1274.3,1247.35,1247.35,1346110974,VNINDEX
